trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-462.1603170696927,"{0: 77, 1: 14, 2: 20, 3: 3, 4: 6}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-13,-122.25965015088018,"{0: 20, 1: 4, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,-100,-545.2472349864145,"{0: 71, 1: 18, 2: 34, 3: 3, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,-41,-413.7847768623006,"{0: 38, 1: 10, 2: 14, 3: 4, 4: 5}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-79,-618.2485441312881,"{0: 52, 1: 10, 2: 25, 3: 4, 4: 8}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-75,-466.81667259684355,"{0: 61, 1: 9, 2: 15, 3: 2, 4: 8}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-68,-378.2106997502251,"{0: 57, 1: 13, 2: 15, 3: 4, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-100,-700.9502563173357,"{0: 77, 1: 8, 2: 25, 3: 4, 4: 11}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,14,-37.791539539886216,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,-100,-402.40771696441846,"{0: 81, 1: 7, 2: 22, 3: 6, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,1,-156.39413950036624,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 3}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,-5,-222.93864533670995,"{0: 15, 1: 1, 2: 10, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,-57,-172.17373256519508,"{0: 60, 1: 5, 2: 13, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-50,-223.76070584752145,"{0: 49, 1: 4, 2: 13, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-8,-105.19645825535451,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,-7,-189.03039363506332,"{0: 16, 1: 6, 2: 6, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,-100,-583.1914030390524,"{0: 79, 1: 13, 2: 28, 3: 2, 4: 8}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-35,-284.04110179414386,"{0: 36, 1: 5, 2: 13, 3: 3, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,24,8.569016888156757,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,-100,-491.57820781017205,"{0: 80, 1: 9, 2: 19, 3: 5, 4: 7}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,-100,-842.976025921283,"{0: 70, 1: 13, 2: 28, 3: 8, 4: 11}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-100,-580.8152412890701,"{0: 70, 1: 7, 2: 33, 3: 4, 4: 6}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-39,-360.87008353042296,"{0: 34, 1: 10, 2: 5, 3: 5, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-32,-191.61692711589063,"{0: 30, 1: 8, 2: 11, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,-32,-470.50329022277754,"{0: 31, 1: 7, 2: 14, 3: 3, 4: 7}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,-30,-213.51670980434633,"{0: 38, 1: 4, 2: 15, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,-81,-308.95391056437626,"{0: 71, 1: 10, 2: 19, 3: 4, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,-47,-291.95487972124596,"{0: 48, 1: 5, 2: 20, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-100,-546.7239010783126,"{0: 72, 1: 12, 2: 25, 3: 5, 4: 6}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,-100,-491.73106269011276,"{0: 86, 1: 12, 2: 22, 3: 3, 4: 7}",0
