trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-74.45081827574245,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,11,-11.038095317245418,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-73.36914739335415,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-66.60683224954893,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-240.71863925937453,"{0: 8, 1: 0, 2: 7, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-160.32649195649793,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,23,9.652314850546038,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,9,-58.89242360056938,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-160.56025726735132,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-63.987965796533516,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-193.26496794888425,"{0: 20, 1: 0, 2: 6, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-245.6819371352559,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 6}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-2.0507508162270773,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-130.6968640432425,"{0: 24, 1: 3, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,0,-117.36553107610568,"{0: 29, 1: 1, 2: 1, 3: 1, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-73.70917643755168,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,37.921614817296025,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,8,-66.96249330203537,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-126.34886615219197,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,-9.587726064889582,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-27.398031979040162,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-71.25361235450362,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,14,11.819716277415608,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-102.85519370777314,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,7.723821661701621,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,10,-12.031538873678441,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,8,21.322226746047235,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,19,8.71453805121788,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,17.08973375944319,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,10.263209210929796,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
