trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.9975031223974601}",25,0,-101.79350642850062,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.25, 'e': 0.9950124791926823}",20,0,-49.8129124291272,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.25, 'e': 0.9925280548191384}",20,0,-54.1204728021241,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.25, 'e': 0.9900498337491681}",20,0,-145.68290545978448,"{0: 7, 1: 5, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.25, 'e': 0.9875778004938814}",25,0,-79.28074665779327,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.25, 'e': 0.9851119396030626}",25,0,-83.72748047461815,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.25, 'e': 0.9826522356650732}",25,0,-95.58650276709446,"{0: 14, 1: 7, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.25, 'e': 0.9801986733067553}",25,0,-97.68940369546623,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.25, 'e': 0.9777512371933363}",20,0,-127.24550657492252,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.25, 'e': 0.9753099120283326}",20,0,-123.83703115949906,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.25, 'e': 0.972874682553454}",20,0,-119.17778264758878,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.25, 'e': 0.9704455335485082}",25,0,-124.13617108144669,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.25, 'e': 0.968022449831306}",20,0,-56.17205419899597,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.25, 'e': 0.9656054162575665}",25,0,-131.9451555964854,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.25, 'e': 0.9631944177208218}",25,0,-124.93892409791933,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
16,False,"{'a': 0.25, 'e': 0.9607894391523232}",20,0,-10.873663997949642,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.25, 'e': 0.958390465520947}",30,0,-199.7997488897863,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
18,False,"{'a': 0.25, 'e': 0.9559974818331}",20,0,-54.87438551365679,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.25, 'e': 0.9536104731326264}",20,0,-59.53838836858917,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.25, 'e': 0.951229424500714}",25,0,-123.82520954003287,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.25, 'e': 0.9488543210558013}",30,0,-148.25580496596424,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
22,False,"{'a': 0.25, 'e': 0.9464851479534838}",30,0,-183.9285453865239,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 4}",0
23,False,"{'a': 0.25, 'e': 0.9441218903864221}",20,0,-95.34834457377153,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.25, 'e': 0.9417645335842487}",20,0,-142.53510121719106,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
25,False,"{'a': 0.25, 'e': 0.9394130628134758}",20,0,-102.21433748330756,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
